d,taxi_time,gate_block_hour,runway_hour,rwy_day,distance,angle,shortest_path,distance_gate,distance_long,distance_else,rwy_num,operation_mode,other_moving_ac,QDepDep,QDepArr,QArrDep,QArrArr,NDepDep,NDepArr,NArrDep,NArrArr
0,2.783333333,7,7,2,1392.678736,348.2961699,1135.091409,71.15197278,806.5635632,514.9632,1,0,6,0,0,0,0,0,0,1,2
1,10.73333333,5,5,2,2356.952831,359.8654553,2220.985386,82.95309436,1857.610014,416.3897223,1,0,16,4,1,0,0,6,2,0,0
1,13.78333333,11,12,25,3425.186987,688.7728899,3261.331068,106.4239204,1014.046097,2304.71697,1,0,8,3,2,0,0,3,4,0,0
1,17.46666667,9,10,12,2448.278238,509.5696121,2065.484887,106.7332941,974.8760265,1366.668918,1,0,7,2,2,0,0,2,4,0,0
1,6.466666667,10,11,22,475.9804469,115.6878097,322.515853,105.6097742,0.0,370.3706727,-1,0,9,2,2,0,0,3,4,0,0
0,7.3,14,14,25,2972.075301,650.002356,2715.5915,68.88588709,1679.143914,1224.045501,1,0,4,0,0,1,1,0,0,3,1
0,2.25,14,14,25,752.171759,218.1094179,580.3052721,104.57135,556.0129758,91.58743321,-1,0,6,0,0,1,1,0,0,3,3
0,6.35,19,19,24,2129.044848,611.7810607,1995.767837,99.47767897,608.7054609,1420.861708,1,0,2,0,0,0,1,0,0,1,1
0,3.8,5,5,30,821.8618622,343.6280157,615.2101087,71.85325888,0.0,750.0086033,1,0,6,0,0,2,0,0,0,4,1
0,7.8,23,23,20,2426.427605,588.1143726,2154.16186,112.8402872,796.0465784,1517.540739,1,0,2,0,0,0,0,0,0,0,2
0,3.716666667,10,10,5,1411.357488,460.1378079,1160.279082,83.43222771,0.0,1327.92526,1,0,3,0,0,0,0,0,0,1,2
1,10.46666667,7,7,26,1467.476029,361.816477,1246.897098,84.74577311,843.5639174,539.1663384,1,0,6,1,1,0,0,2,3,0,0
0,6.433333333,23,23,31,2198.651976,610.9174457,2029.842314,113.648321,608.7054609,1476.298194,1,0,1,0,0,0,1,0,0,0,0
1,15.26666667,11,12,10,2986.091616,687.1114406,2709.8971,112.8402872,1368.018809,1505.23252,1,0,4,0,2,0,0,0,0,0,0
0,4.883333333,20,20,5,1821.794683,668.3744893,1541.150733,87.1816781,575.4407558,1159.172249,1,0,1,0,0,0,0,0,0,0,1
1,12.78333333,4,4,18,2650.220286,485.7568958,2364.888217,105.6097742,974.8760265,1569.734485,1,0,13,6,0,0,0,9,2,0,0
1,10.83333333,13,13,1,2452.961885,576.0773866,2279.731463,120.2160719,1014.046097,1318.699717,1,0,4,0,1,0,0,0,1,0,0
0,5.883333333,16,16,16,2621.568039,626.7826984,2416.45312,67.85866643,1019.76446,1533.944913,1,0,4,0,0,1,0,0,0,1,1
0,4.466666667,11,11,18,1785.074378,651.6150319,1093.875551,83.43222771,0.0,1701.642151,1,0,5,0,0,1,0,0,0,2,3
1,13.63333333,5,5,25,3028.044051,586.9396993,2941.211097,113.4508828,1014.046097,1900.547071,1,0,6,3,0,0,0,3,1,0,0
0,3.966666667,11,11,18,1378.704951,418.0502534,928.797747,88.90901388,0.0,1289.795937,1,0,6,0,0,0,1,0,0,1,4
1,11.81666667,13,14,26,2216.69632,456.5777247,2080.590142,83.0918278,1014.046097,1119.558395,1,0,12,4,3,0,0,4,3,0,0
0,7.1,12,12,4,2045.576378,411.3538993,1799.350856,112.5747823,0.0,1933.001596,1,0,6,0,0,1,1,0,0,1,4
1,15.4,11,12,18,1674.870689,738.5948977,1354.24344,71.15197278,0.0,1603.718716,1,0,9,1,3,0,0,1,5,0,0
0,10.68333333,4,4,22,3071.937513,557.3148891,2658.186509,106.4239204,796.0465784,2169.467015,1,0,8,0,0,4,0,0,0,5,1
0,3.316666667,21,21,2,1493.115598,418.0196757,1036.209272,91.68451579,0.0,1401.431082,1,0,2,0,0,0,0,0,0,0,2
1,11.9,10,10,30,2539.363008,533.893138,2302.942851,103.6766524,1563.341596,872.344759,1,0,4,0,2,0,0,0,3,0,0
0,2.85,8,8,6,1447.395382,298.9574142,1068.687877,71.15197278,806.5635632,569.6798461,1,0,3,0,0,0,0,0,0,1,1
0,3.5,6,6,30,1455.911876,361.2980185,1169.803319,91.68451579,608.7054609,755.5218992,1,0,3,0,0,1,0,0,0,2,1
1,13.38333333,13,13,5,1910.57133,369.7792917,1695.444407,88.90901388,974.8760265,846.7862898,1,0,4,1,1,0,0,1,1,0,0
0,2.15,12,12,26,684.8865547,222.4844838,447.7472516,67.27407715,0.0,617.6124775,1,0,3,0,0,0,0,0,0,2,1
1,12.06666667,17,17,7,1543.842987,626.1391604,1099.074575,86.29883817,565.111891,892.432258,1,0,2,0,1,0,0,0,0,0,0
1,9.633333333,5,5,29,1879.279231,208.197379,1660.752748,86.29883817,1097.47562,695.5047729,1,0,9,4,1,0,0,4,3,0,0
0,3.033333333,9,9,14,1497.997579,308.4087808,1068.687877,71.15197278,806.5635632,620.2820431,1,0,5,0,0,1,0,0,0,2,3
1,10.38333333,20,20,11,2020.758358,372.6934913,1802.855933,91.68451579,974.8760265,954.1978152,1,0,1,0,0,0,0,0,0,0,0
0,2.65,14,14,26,927.0281082,357.3013924,673.9318402,71.02745408,0.0,856.0006541,1,0,5,0,0,0,0,0,0,2,3
1,13.51666667,17,17,4,1549.654054,360.7368423,1354.24344,71.15197278,891.6137929,586.8882881,1,0,2,0,1,0,0,0,1,0,0
1,11.06666667,13,14,14,1681.302056,590.9067721,1335.45278,67.27407715,746.9421803,867.0857989,1,0,6,2,2,0,0,3,1,0,0
1,9.183333333,15,15,27,1804.7406,373.5251149,1589.080728,83.43222771,0.0,1721.308373,1,0,6,2,2,0,0,3,2,0,0
1,11.18333333,15,15,28,1910.57133,369.7792917,1695.444407,88.90901388,974.8760265,846.7862898,1,0,6,2,1,0,0,2,1,0,0
0,3.433333333,22,22,21,1342.076539,338.8448032,1135.091409,71.15197278,806.5635632,464.361003,1,0,4,0,0,0,1,0,0,1,2
1,15.31666667,4,5,24,2243.820432,333.6506271,2119.778628,71.02745408,1626.487207,546.3057714,1,0,8,6,0,0,0,6,0,0,0
1,10.3,5,5,12,172.9115265,91.57030692,0.0,83.43222771,0.0,89.47929884,-1,0,10,3,1,0,0,9,0,0,0
0,2.1,11,11,25,510.9835677,127.0459059,313.0988158,71.15197278,0.0,439.8315949,1,0,7,0,0,1,1,0,0,2,5
1,14.6,3,3,14,3449.786412,956.7176674,3103.739008,71.3005402,1033.556021,2344.929851,1,0,4,0,1,0,0,1,1,0,0
1,10.31666667,14,14,20,1516.048509,538.4406944,1227.469597,83.43222771,524.1999551,908.4163264,1,0,10,3,2,0,0,3,4,0,0
0,3.616666667,17,17,26,1335.684042,362.0603388,1115.834452,83.0918278,608.7054609,643.8867536,1,0,4,0,0,0,0,0,0,2,2
0,1.983333333,11,11,23,561.5857647,136.4972726,313.0988158,71.15197278,0.0,490.4337919,1,0,5,0,0,0,0,0,0,2,3
